titulo,empresa,categoria,tipo,salario,localizacao,link
Senior Data Engineer,Unite Us,Data and Analytics,full-time,"usd 145,000 - 175,000 per year",USA,https://job-boards.greenhouse.io/uniteus/jobs/8462774002
Data Engineer,Unite Us,Data and Analytics,full-time,"usd 115,000 - 135,000 per year",USA,https://job-boards.greenhouse.io/uniteus/jobs/8462816002
Data Analyst,InPost,Data and Analytics,full-time,unspecified,Worldwide,https://jobs.smartrecruiters.com/InPost/744000123438481-data-analyst-m-f-d-
Business Analyst (Enterprise Systems | AI-First Delivery),Dhan AI Inc.,Data and Analytics,full-time,unspecified,Worldwide,https://dhan.freshteam.com/jobs/1T_weMhJYbCs/business-analyst
Healthcare Data Analyst,COMAGINE HEALTH,Data and Analytics,full-time,"usd 83,000 - 104,000 per year",USA,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=fb904576-33e2-4c0d-96b1-71006998685c&jobId=589272
Data Engineering Manager,Gradient AI,Data and Analytics,full-time,"usd 170,000 - 205,000 per year",Worldwide,https://job-boards.greenhouse.io/gradientai/jobs/7695407003
Senior Healthcare Data Analyst,COMAGINE HEALTH,Data and Analytics,full-time,"usd 92,000 - 120,000 per year",USA,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=fb904576-33e2-4c0d-96b1-71006998685c&jobId=589271
Senior Data Analyst,Globaldev Group,Data and Analytics,full-time,unspecified,Worldwide,https://jobs.workable.com/view/qcyBuC5uktLpP7Pp5fcPxh/remote-senior-data-analyst-in-poland-at-globaldev-group
Senior Nice CXOne Business Analyst,Miratech,Data and Analytics,full-time,unspecified,Worldwide,https://jobs.smartrecruiters.com/Miratech1/744000123448749-senior-nice-cxone-business-analyst
Senior Data Specialist,Alex Staff Agency,Data and Analytics,full-time,unspecified,"UTC-5 to UTC-3, GMT (UTC+0), EET (UTC+2)",https://jobs.workable.com/view/jqyzgVTYoWAF2jJuD5Sgdw/remote-senior-data-specialist-in-hungary-at-alex-staff-agency
Data Architect,New Era Technology,Data and Analytics,contract,unspecified,India,https://job-boards.greenhouse.io/neweratech/jobs/8526177002
Senior Data Scientist,Arco Educação ,Data and Analytics,full-time,unspecified,Germany,https://job-boards.greenhouse.io/arcoeducacao/jobs/5983293004
Senior Business Analyst APM / Observability,Coopers Group AG,Data and Analytics,full-time,unspecified,Switzerland,https://join.com/companies/iet/16076435-senior-business-analyst-apm-observability-devops-umfeld?pid=aae2f260d3eca542896a
Business Analyst Monitoring & Observability,IQ Plus AG,Data and Analytics,full-time,unspecified,Switzerland,https://join.com/companies/iqplus/16077022-business-analyst-monitoring-und-observability-m-w-d-80-100-76027?pid=aae2f260d3eca542896a
